Model,Training_Time,Overall_WAPE,Overall_MAE,Overall_RMSE,Overall_R2,Error,Level_0_WAPE,Level_0_MAE,Level_0_RMSE,Level_0_R2
ETNN_Basic,0.0,inf,inf,inf,-inf,'dict' object has no attribute 'groupby',,,,
ETNN_Deep,0.0,inf,inf,inf,-inf,'dict' object has no attribute 'groupby',,,,
Simplified_ETNN,15.463394165039062,38.217443227767944,0.012696280144155025,0.01431134406198301,0.6888712644577026,,38.217443227767944,0.012696280144155025,0.01431134406198301,0.6888712644577026
Simplified_ETNN_Large,53.08015775680542,14.889851212501526,0.004946582019329071,0.005790677152193659,0.9490624666213989,,14.889851212501526,0.004946582019329071,0.005790677152193659,0.9490624666213989
